Country,Regulator,Issuance,Year,Scope,Fair treatment & market conduct,Safeguarding of Funds,Transparency & disclosure,"Product design, suitability & distribution",Pricing & fees,Consumer data protection & privacy,Consumer redress & dispute resolution,Complaints Handling,Consumer education & awareness,Vulnerable & special consumer groups,Reporting requirements,Sanctions,Unnamed: 18,Source_Original,Source_EN,Amendment_Of
Brunei Darussalam,"Department of Consumer Affairs (DCA), Department of Economic Planning and Statistics (DEPS)","Consumer Protection (Fair Trading) Act, Chapter 261 (CPFTA)",2012.0,"Applies to suppliers or consumers residing in Brunei Darussalam, or consumer transactions that are made in or sent from Brunei Darussalam. This is applicable for business-to-consumer (B2C) transactions.","An unfair practice occurs when a supplier engages in conduct that deceives, misleads, makes false claims, or takes advantage of a consumer who cannot protect their own interests or cannot reasonably understand the nature or details of the transaction. A single act or omission may constitute an unfair practice, assessed based on the reasonableness of that person’s actions in the circumstances.",,Prohibits omission of material information that is likely to deceive or mislead consumers,,"Misrepresenting the price of goods or services, Misleading claims about “usual price,” discounts, or savings, False or deceptive statements about additional fees or charges are prohibited",,"Consumers may commence civil action against suppliers for unfair practices, provided that the amount of the claim does not exceed the prescribed limit, and such action is taken within two years from the date of the last material event or discovery of the unfair practice. The regulator may enter into Voluntary Compliance Agreements with suppliers to compensate consumers and cease unfair practices, and may apply to the court for declarations or injunctions to stop unfair practices.","DCA acts as the first point of contact for consumer complaints relating to unfair trade practices and handles such complaints administratively. For matters falling outside the scope of the CPFTA, consumers will be advised to refer their complaints to the relevant sector regulators.","DCA’s core functions include advocacy and outreach programmes, where it conducts consumer education and awareness initiatives such as outreach sessions and advisory posters.",Taking advantage of a consumer who cannot protect their own interests or cannot reasonably understand the nature or details of the transaction is considered an unfair practice,,"Courts may order civil remedies including restitution (return of money or property), damages (compensation for loss), specific performance and any other appropriate relief.",,https://www.agc.gov.bn/AGC%20Images/LAWS/ACT_PDF/C/CHAPTER%20261.pdf,https://www.agc.gov.bn/AGC%20Images/LAWS/ACT_PDF/C/CHAPTER%20261.pdf,
Brunei Darussalam,Brunei Darussalam Central Bank,Guidelines on Product Transparency and disclosure,2019.0,Banks,,,"-Banks are required to give customers accurate, relevant, and clear product information, covering key details such as features, benefits, risks, fees, charges, and contractual rights and obligations. They must also ensure customers receive timely and adequate information before and during the contract.
-During the contract period, banks should provide direct notifications (written or electronic).  They may use alternative disclosure methods such as press notices, account statements, posted notices in branches, or website announcements may be allowed if direct notifications are not feasible due to valid reasons.
-Banks must apply consistent transparency and disclosure standards across both traditional and internet‑based banking.",Banks are required to provide a product disclosure sheet that highlights essential information to support informed decision‑making and enable customers to compare different products.,"
Banks should disclose accurate and relevant product information regarding fees and charges that will or may be payable by the customer",,,,"
The guidelines promote customer’s awareness and understanding of products and services offered by banks",,,Not explicitly cited in guidelines,,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192010120930.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192010120930.pdf,
Brunei Darussalam,Brunei Darussalam Central Bank,Market Conduct Notice – Notice No. FCI/N2/2021/1,2021.0,Banks and financial institutions,"Banks and financial institutions must treat customers fairly, honestly, and professionally. They must also maintain adequate resources, controls, and procedures to protect customers’ interests — including preventing conflicts of interest, unethical conduct, and improper selling practices, and ensuring these policies are properly enforced.",,"-Banks and financial institutions shall take affirmative action to ensure that their customers have a reasonable and holistic understanding of products and services available.
-Banks and financial institutions or their representatives are required to disclose information on their products and services, in particular on any interest/profit, fees and charges and to make this information available at all relevant platforms and avenues, including at all premises, and on their website, if available.
-Banks and financial institutions are required to deal in good faith and shall not make statements that are untrue, or omit vital information which may lead to a statement becoming false or misleading. Banks and financial institutions shall also present a balanced view when selling a product or service.","
Banks and financial institutions must collect enough customer information to offer suitable products or services, and when applicable, assess the customer’s financial capacity, situation, requirements, and risk profile before providing any product, service, or advice.","Banks and financial institutions shall have complete and concise terms and conditions, that include all chargeable interest/profit, fees, charges","
Banks and financial institutions must have a written privacy policy with proper controls to protect customers’ personal data, keep these policies updated, and clearly inform customers about what data is collected, how it is used, and how it is stored. Customers must be given the choice to consent or refuse, be told the implications of refusal, and institutions must limit data collection to what is necessary and retain it only as needed or legally required.",,,,,,Not explicitly cited in notices,,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111191990032740.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111191990032740.pdf,
Brunei Darussalam,Brunei Darussalam Central Bank,Notice for The Establishment of a Complaints Handling Function Within Financial Institutions (Notice No. FCI/N1/2021/1),2021.0,Banks and financial institutions,,,,,,,"Banks and financial institutions shall inform complainants of their right to escalate their complaint to the Authority, if:
a) The bank or financial institution is unable to resolve the complaint within 90 business days after the date of receipt of the complaint; and/or
b) The complainant is dissatisfied with the final response provided by the bank or financial institution.
The Authority may direct the complaint to the Brunei Darussalam Arbitration Centre for mediation, if necessary or applicable","-Banks and financial institutions shall establish a complaints handling function that will provide its customers with accessible, affordable, independent, fair, accountable, timely and efficient means for resolving complaints with regard to their financial transactions, and/or the banks’ and financial institutions’ practices and services.
-The complaints handling function shall be the first stop for customers to lodge complaints
-A separate unit must be established, or a complaints handling officer appointed.
-Complaints must be handled independently from the business unit involved.
-Staff must be trained in consumer protection, financial products/services, procedures, data protection, mediation, negotiation
-Banks must provide free, easy, and efficient complaint channels (letter, phone, in person, and optional electronic means).
-Institutions must ensure customers are aware of their right to complain, with info displayed physically (posters, leaflets) and digitally (website, mobile app, social media).
-Banks must acknowledge the receipt within 3 business days. Banks must communicate assessment results within 14 business days.
-Send to the complainant with final response within 30 business days after the date of receipt of the complaint
-The bank must explain by Day 30 why they need more time and inform the complainant of their right to escalate.",,,"
Banks and financial institutions must prepare periodic complaints reports including:
- types & reasons for complaints
- number of complaints
- which branches/products generated complaints
- cases outstanding >30 or >90 business days
- remedial actions including compensation
- analysis of root causes

Reports must be submitted:
-twice yearly (half‑yearly)
-signed by the COO
-submitted within 30 days after 30 June and 31 December",Not explicitly cited in notices,,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111191986835040.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111191986835040.pdf,
Brunei Darussalam,Brunei Darussalam Central Bank,Guidelines on Technology Risk Management(TRS/G-2/2022/1),2022.0,Banks and financial institutions,,,"FIs must inform customers on changes to the privacy policy, data structure",,,data protection or privacy policy should be established or included in terms and conditions and made available to consumers,,FI should determine appropriate channel and establishe process for customers to report issues,"-FIs should provide education and awareness to customers to protect their user account
-FIs should provide adequate security awareness to their customers on how to securely conduct online and electronic transactions
-Written instructions and guidelines on the use of the FI's system and digital financial services should be provided
-Customer security awareness program should also be updated and disseminated regularly",,,,,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192888872080.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192888872080.pdf,
Brunei Darussalam,Brunei Darussalam Central Bank,Notice on Requirements for Payment Systems (Notice No. PSO/N‑1/2020/1 – Amendment No. 2),2020.0,Payments system operators/participants and payment instruments,,"
-Cap on e‑money balance per customer: the currency equivalent of the e‑money contained in a personal payment account issued by the Operator to a customer does not exceed B$2,000  (US$1560) (or its equivalent in a foreign currency)
- Cap on annual outflows:  the total currency equivalent of the e‑money transferred in any one‑year period does not exceed B$30,000  (US$23,400) (or its equivalent in a foreign currency)

Where a customer holds multiple personal payment accounts:
- the total currency equivalent of the e‑money contained in all personal payment accounts issued to that customer does not exceed B$2,000 (US$1560)
- the annual outward transfer cap across all accounts must not exceed B$30,000.(US$23,400)",,,,,,,,,"The auditor must immediately report the following matters to the authority:
- losses have been incurred that reduce the capital of the Operator by at least 50%;
-irregularity that has or may have a material effect on the accounts of the Operator, including any irregularity that had caused a major disruption to the provision of any type of service to the customers of the Operator",Not explicitly cited in notices,,https://www.bdcb.gov.bn/docs/consumer-issues/alert-list/Notice-on-Requirements-for-Payment-Systems-Amendment.pdf,https://www.bdcb.gov.bn/docs/consumer-issues/alert-list/Notice-on-Requirements-for-Payment-Systems-Amendment.pdf,
Cambodia,National Committee on Consumer Protection (NCCP),Law on Consumer Protection,2019.0,"Business and protects consumers against deceptive, misleading, or fraudulent business practices","
Businesses must avoid unfair practices, including misleading advertisements, false product claims, and any deceptive commercial conduct.",,"
Businesses shall disclose a minimum of information to consumer w/ the information standard to be determined by a prakas","- Businesses shall not engage in any unfair act which is misleading or deceptive to the public concerning the type, standard, characteristics, suitability, size, or quality of services
- Businesses must disclose information on the type, classification, quantity, origin, usage function, maintenance, composition, design, installation, usage, instruction, cost, packaging, promotion or supply, dates of manufacture and expiration, product information ","Disclose information related to the kind, grade, safety, quantity, origin, function of use, maintenance, composition, design, assembly, usage, price…",,"-The National Consumer Protection Committee may make the settlement by negotiating with any person, except for criminal cases and repeated violation, The resolution procedures shall be determined by Prakas of the Minister of Commerce. 
-Any relevant person may ask the committee to review, correct or revoke the decision within 15 days at the latest from the date of receipt of notification of the decision
-Consumers not satisfied with the decision of the Committee may file a complaint to the competent court within 30 days at the latest from receipt of notification of decision","
National Consumer Protection Committee can receive complaints and conduct investigations. The committee can issue decisions/administrative procedures","Consumer have righit to receive information and education for balancing the difference between the goods or services, and to be protected against fraud and misrepresentation by advertisements; ",,,"Sanctions include written warning, suspension, revocation or cancellation of certificate of commercial registration or license, obstruction penalty, fine and imprisonment",,https://data.opendevelopmentcambodia.net/laws_record/law-on-consumer-protection/resource/b8408190-9b84-4d06-ac64-18acfecdbe43,https://data.opendevelopmentcambodia.net/laws_record/law-on-consumer-protection/resource/b8408190-9b84-4d06-ac64-18acfecdbe43,
Cambodia,Ministry of Commerce,Law on Electronic Commerce,2019.0,All persons and entities engaged in electronic transactions,"-All person shall not use the identity, record, electronic signature, electronic address, secret code, or feature of other persons in bad faith or without permission in a commercial or noncommercial transaction via electronic system
-Any person shall not create an electronic system for the purpose of counterfeiting or causing a confusion in order to take advantage, or in the purpose of attracting to have a usage or an operation, and lead to have an injury/damage to the person who used it or to the third party.",,"A person using electronic communications to sell goods or services to consumer shall provide accurate, clear and intelligible information and must have at least the following information:
- Name or legal name of the person, the registered business address and an electronic means for contact or a telephone number;
- Terms, conditions and costs of goods or services associated with a commercial transaction, particularly the terms and conditions, and methods of payment, and details related to withdrawal or cancellation of the purchase order, termination, return and exchange of goods, and refund
- Actual goods and services offered for sale.",,,"Any person that holds personal information in electronic form shall use all means to ensure that the information is protected by such security safeguards as it is reasonable in every circumstances to avoid the loss, access, use, modification, leak or disclosure of those information, except with the permission of the owner of the information or any other party authorized by law.","- Those who are not satisfied with the written warning, cease of business activities or business transaction, suspension, revocation or cancellation of the authorization or license and a fine by the Ministry of Commerce and the Ministry of Posts and Telecommunications shall be entitled to lodge their complaint with the Minister of Commerce and the Minister of Posts and Telecommunications
-The Minister of Commerce and the Minister of Posts and Telecommunications shall make decision within 30 (thirty) days at the latest.
- Any person who are not satisfied with the decision of the Minister of Commerce and the Minister of Posts and Telecommunications shall have the rights to lodge their complaint to the competent court of the Kingdom of Cambodia within 30 (thirty) days at the latest from the date of receipt of the notification of the decision","-Customers shall notify the payment service providers of any unauthorized, mistaken or wrongful transaction of their own account.
-Customers shall notify the payment service providers or the establishment authorized by the payment service providers of any loss or theft of electronic transfer instrument or electronic fund transfer method or theft of data, which can be used with the payment instrument. Such notification shall be made in writing or by any electronic means which is acceptable to the payment service providers, and shall notify as soon as possible not exceeding 2 (two) days after the theft or loss of electronic transfer instrument is discovered.",,"On the burden of proving authenticity of electronic evidence: In the case where there is any provisions which protects the vulnerable persons, including consumers and children, and which establishes the burden of introducing evidence that provides more benefits to those individuals than this law does, the provisions shall prevail over this Article. ",,"Administrative and criminal sanctions, including written warning, cease of business activities or business
transactions, suspension, revocation or cancellation of the authorization or license, penalty,
imprisonment",,https://data.opendevelopmentcambodia.net/en/laws_record/law-on-e-commerce,https://data.opendevelopmentcambodia.net/en/laws_record/law-on-e-commerce,
Cambodia,National Bank of Cambodia (NBC),Prakas on Resolution of Consumer Complaints,2017.0,Banking and Financial Institutions under National Bank of Cambodia's supervisory authority ,Right and benefit of consumer using institution's product and service through proper and effective complaint resolution.,,"Institution shall publicly and disclose the document on the: 
- Complaint management process easy to understand, clear time frame for resolving complaints at retail location of providing products and services.
- Information leaflet ",Consumer complaint resolution guideline,,Keepping consumer complaint information confidential,"Institution shall establish a consumer complaint management Framework (CCMF) and complaint Management Unit that included: 
- Senior consumer relation officer 
- Writtten policies and procedures that are clear, complet and accessibole for the institutiion's staffs
- Policies and Procedure
- centralizing the monitoring and supervision of CCMF
- Regular report to the senior managment on the complaint management 
- clear role and responsible ","- Institution shall establish Complaint Management Unit. 
- complaint lodged verbally shall be resolved within 2 (two) working days. If a complaint loadged verbally cannot be resovled bu the institution with this timeframe, the Institution shall request the consimer and/or Representative to lodge the complaint in writing. Writing complaint consist guiden and preceudure stated in the prakas.","Institution shall publicly discolose the document on the :
- Complaint management process on its website, information leaflects…etc",,Inistitution require regular report to the senior management and keeping the record of consumer complaint for three years.,"Any institution failing to comply with this Prakas, shall be penailzed according to articial 52 of the Law on Banking and Fianancial Institutions. ",,https://www.nbc.gov.kh/download_files/legislation/prakas_eng/Prakas_on_Resolution_of_Consumer_Complaints_ENG.pdf,https://www.nbc.gov.kh/download_files/legislation/prakas_eng/Prakas_on_Resolution_of_Consumer_Complaints_ENG.pdf,
Cambodia,National Bank of Cambodia (NBC),Prakas on Management of Payment Service Providers,2017.0,"Payment Service Providers (PSPs), Banks and Financial Insitutions regulated by the NBC","Payment service institutions to operate fairly, promote competition, and maintain public confidence in payment services.","-Funds shall be deposited in a separate account in a commercial bank as Trust Account or invested in secure, liquid low risk assets as defined by the NBC
-In the event that the payment service institution is unable to meet its financial obligations or  in  the  event  of  insolvency,  the  fund  shall  be  freezed  for  resettlement  to  the  payment  service user
-Commercial bank who held the funds shall be responsible for monitoring and reconciling the  balance  of  trust  account  with  the  funds  received  from  payment  service  user  for  execution of payment transaction, and issuance of electronic money. ","-Payment service institution shall provide important information in advance to users regarding service charge to the sender and receiver, exchange rate used, other related fees 
-The  information  and  conditions  specified  above  shall  be  given  in  easily  understandable  words and in a clear and comprehensible form,
- Payment service institution shall notify a customer in writing at least [twenty-one days] prior  to  the  effective  date  of  any  material  change  in  any  term  or  condition  of  the  customer’s account required to be disclosed, unless such change is immediately necessary to maintain or restore the security of a payment system or a customer’s account. ",Licensing requirement shall be obtained from the NBC prior to providing payment services,"Payment service institution shall provide important information in advance to users regarding service charge to the sender and receiver, exchange rate used, other related fees","Providers applying for a license on payment services must provide a description of the process in place to file, monitor, track and restrict access to sensitive payment data","Payment service providers/banks/financial institutions must establish dispute resolution framework and disclose to payment user in order for them
seeking immediate response in the event of dispute",Providers applying for license must also provide description of the procedure in place to handle and follow up customer complaints,,,"
'-Providers applying for license must also provide description of the procedure in place to handle incidents reporting mechanisms
- Monthly report for offsite and onsite examination.
-Payment service institution shall maintain all appropriate records for at least 5 (five) years or logs.
All records maintained by payment service institution shall disclose for supervision by the NBC","Enforcement measures including fines, suspension, and revocation of licenses for non-compliance.",,https://www.nbc.gov.kh/download_files/legislation/prakas_kh/Prakas_NBC14_017_161_Payment-Service-Provider_Khmer.pdf,https://www.nbc.gov.kh/download_files/legislation/prakas_kh/Prakas_NBC14_017_161_Payment-Service-Provider_Khmer.pdf,
