Country,Regulator,Issuance,Year,Information asset classification,Data ownership and accountability rules,Data security and confidentiality standards,Consent management standards,Data retention and archiving requirements,Data sharing and interoperability standards,Cross-border data transfer conditions,Data quality and integrity standards,Encryption/cryptography prescriptions,Incident/breach notification timelines,Third-party/outsourcing governance,Data localization rules,"Data Standards (e.g., ISO 20022)",Source_Original,Source_EN,Amendment_Of
Brunei Darussalam,Authority for Info-communications Technology Industry (AITI),Personal Data Protection Order (PDPO),2025.0,"No explicit taxonomy for information asset classification but the regulation covers the following:
- personal data: whether true or not, about an individual who can be identified from that data; or from that data and other information to which the organisation has or is likely to have access;
- anonymised data","
-An organisation is responsible for personal data in its possession or under its control.

- An organisation shall appoint Data Protection Officer (“DPO”) to oversee compliances with PDPO. An organisation must make available to the public the business contact information of at least one of the individuals designated under the above requirements.

- An organisation to implement PDP policies and communicate them to all staff.",Organisations shall reasonably secure and protect all personal data in their possession or under their control from unauthorised access and processing; and the loss of any storage device containing the personal data.,"Obtaining individual's consent prior to processing of personal data, unless authorised by law or an exception under the new legislation applies. Consent is validly obtained and expressly given or deemed to have been given.

*Standards for valid consent
- provided with the information required
- provided his consent for that purpose
- given in written or other form so as to be accessible for subsequent reference.  (for telephone number)

*Standards for deemed consent
- voluntarily provides the personal data to the organisation for that purpose
-reasonable that the individual would voluntarily provide the data.

*Standards for deemed consent by notification
- the individual does not notify the organisation, before the expiry of the period mentioned in subsection (3)(b}(iii), that the individual does not consent to the proposed collection, use or disclosure of the personal data by the organisation.","Organisations to stop retaining personal data information, as soon as it is assume that the personal data no longer serves the purpose for which it was collected, or any other legal or business purpose.​","Individuals must be notified of the purposes for which their data will be collected, used, or disclosed.",Organisations shall not transfer personal data to a country or territory outside Brunei Darussalam unless there is a similar or better data protection law available. An alternative is to have contracts with specific instruction on data protection across borders.,"An organisation shall make a reasonable  effort that personal data collected by or on behalf  of the organisation is accurate and complete if the
personal data -
(a)is likely to be used by the organisation to make a decision that affects the individual to whom the personal data relates; or
(b)is likely to be disclosed by the organisation to another organisation.",No explicit provision,"Organisation shall conduct, in a reasonable and expeditious manner, an assessment of whether a data breach is a notifiable data breach.

*Notifiable data breaches
-results in, or is likely to result in, significant harm to an affected individual (if the data breach is in relation to any prescribed personal data or class of personal data relating to the individual; or in other prescribed circumstances
-is likely to be of a significant scale (if the data breach affects not fewer than the prescribed number of
affected individuals; or in other prescribed circumstances)

-When an organization becomes aware of a data breach, it must conduct an assessment in a reasonable and expeditious to determine whether the breach is notifiable
- If a data processor suspects a data breach involving personal data it processes for another organization, it must promptly inform that organization, which is then responsible for assessing whether the breach is notifiable.
- Once the organization completes the assessment and concludes that the breach is notifiable, it must notify the Authority (AITI) as soon as practicable, and in any case no later than 3 calendar days after the assessment is completed.
-the organisation shall also notify each affected individual affected by a notifiable data breach ","An organisation has the same obligation under this PDPO in respect of personal data processed on its behalf.

The organisation remains fully responsible for complying with the PDPO for personal data it outsources to a data processor. Legally, it is treated as if the organisation itself carried out the processing.",No explicit provision,No explicit provision,https://www.agc.gov.bn/AGC%20Images/LAWS/Gazette_PDF/2025/EN/S%201_2025%20[E].pdf,https://www.agc.gov.bn/AGC%20Images/LAWS/Gazette_PDF/2025/EN/S%201_2025%20[E].pdf,
Brunei Darussalam,Brunei Darussalam Central Bank (BDCB),Guidelines on Technology Risk Management(TRS/G-2/2022/1),2022.0,"Classification is determined by FIs through the data asset management framework with the following metrics:
- risk
- security classification
- criticality

The regulation covers the following:
- personal data: whether true or not, about an individual who can be identified from that data; or from that data and other information to which the FI has or is likely to have access
-sensitive data","-Data Ownership is established through data assset management framework by the financial institutions

-Accountability:
* Board & Senior Management- on important IT decision and operations in the FIs.
* Chief Information Officer - responsible to lead the IT management of the organization
* Chief Information Security Officer- responsible for management of information security and cybersecurity
* Business Units / System Owners — responsible for maintaining security controls, participate in risk reporting, and enforce segregation of duties
*End‑users and privileged users — users given access… should be held responsible and accountable for their own account","- FIs should develop a comprehensive data loss prevention strategy to address data breach, theft, and leakage covering the following:
– Data at endpoints
– Data in motion (transmitted across networks)
– Data at rest (servers, databases, storage)
– Cloud data","- FIs must clearly indicate the purpose of data collection and obtain suitable consent from the customer.
- If there are changes to this policy affecting data protection, the FI must inform customers, and request renewed consent, as required
-For changes that require additional consent, the negative consent method must NOT be used.
The FI must follow up with customers to obtain affirmative consent.
- FIs must not obtain consent through force or unsolicited means.Instead, they may explain consequences of not providing consent. 
- FIs must provide clear disclaimers if their systems automatically collect data
- FIs must review the purpose of personal data usage and ensure it remains consistent with the consented purpose, especially after system or process changes.","- FIs must retain logs for a period required by applicable legislation or regulation relating to log, record, or data retention.
- Logs must be retained and adequately protected to support potential investigations, including statutory document retention requirements.
-FIs must determine how long audit trail data will be maintained, aligned with the criticality of the systems, whether stored in-system or archived.
=
- FIs must archive logs using built‑in or third‑party archiving tools, and back them up to another storage medium.
-Central log collection servers are recommended to centralize logs for easier monitoring and retention.
-FIs must retain customer personal data in accordance with statutory or regulatory requirements for document retention, record keeping, and information protection.
-Where retention is mandated by law, these requirements must be communicated to customers.","-For Open APIs, data sharing must be limited to public information, read‑only, or one‑way processing
- Financial institutions should plan how to address compatibility and interoperability issues prior to integration, and ensure data and controls in the system are streamlined. this includes but not limited to the following:
- assess data structure and capacity of both systems
- assess potential changes to metadata where applicable
- optimize and test communication between the two systems or components
- ensure both systems are updated and security patches are installed
- review user access matrix for the new components and data, review security configuration of the new components
- prepare a testing plan that covers both systems, the components, and integration tool,
-prepare maintenance plans that covers the integrated systems of components of whole system","Notification to  customers if storing personal data on a cloud platform or third party, including another country. Access to customer personal data should be restricted","-FIs should ensure their customer personal data are accurate, current and complete. The FIs should establish relevant process to request or allow customers to review and update their personal data.
-FIs should implement measures that ensure the confidentiality as well as integrity of audit trail data, such as the use of encryption, digital signatures and strong access controls.
-All logs should be protected from alteration or unauthorised removal. Access to the logs should be limited only to the designated administrator.
-FIs must classify data and assign ownership to support proper handling and integrity.","Encryption should cover the following:
- Sensitive data on servers, databases, endpoints, and storage media must be protected using strong encryption and access control.
- Communication or transfer of sensitive information must use:
*Encrypted channels (e.g., SSL, TLS),or (Encryption applied before transmission).
- Backup tapes/media  before off‑site transport.
- Digital services such as cards, e-wallets-biometric
- Audit trails
- Remote access
-Personal data sent online
-NFC

Cryptography
-Use well-established algorithms (e.g., RSA, AES) endorsed by international bodies.
-Define appropriate key length, ensure algorithms are rigorously tested, and ensure secure key generation, transmission, protection, and rotation.
-Keys must be sent through separate secure channels, and distribution media must be destroyed after use.","Within 1 hour after suspected incident has been discovered
Within 2 hours from the discovery to confirm suspected incident is a near-miss or major IT incident","- If the Fls have to assign a third party to process customer personal data, the Fls should inform the customer on this arrangement and to limit access to personal data such as by using pseudonymisation or encryption.
-Fls has independent or direct access to relevant audit trails.
-The integrated third‑party system should not be able to access or extract data directly from the Fls’ main system, unless restricted on request and minimal basis
- FIs must evaluate third‑party data collection, storage, and protection.
-Ensure data for the API are separated from the main database.
-Data given from the API should be stored temporarily on a need basis only; cleared when session ends/idle.
-If the customer personal data has to be stored on a cloud platform or other third party, such arrangement including country where the customer's personal data is stored should be informed to the customer. Access to customer personal data must be restricted  ",No explicit provision,"No explicit provision. However, the FI is required to observe new and existing laws and regulation in relation to personal data protection",https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192888872080.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192888872080.pdf,
Brunei Darussalam,Brunei Darussalam Central Bank (BDCB),Guidelines on IT Third Party Risk Management (TRS/G-3/2022/2),2022.0,"Classification is determined by FIs through the data asset management framework with the following metrics:
- risk
- security classification
- criticality

The regulation covers the following:
- personal data: whether true or not, about an individual who can be identified from that data; or from that data and other information to which the FI has or is likely to have access
-sensitive data","-Data Ownership is established through data assset management framework by the financial institutions

-Accountability:
* Board & Senior Management- on important IT decision and operations in the FIs.
* Chief Information Officer - responsible to lead the IT management of the organization
* Chief Information Security Officer- responsible for management of information security and cybersecurity
* Business Units / System Owners — responsible for maintaining security controls, participate in risk reporting, and enforce segregation of duties
*End‑users and privileged users — users given access… should be held responsible and accountable for their own account","- FIs should develop a comprehensive data loss prevention strategy to address data breach, theft, and leakage covering the following:
– Data at endpoints
– Data in motion (transmitted across networks)
– Data at rest (servers, databases, storage)
– Cloud data","- FIs must clearly indicate the purpose of data collection and obtain suitable consent from the customer.
- If there are changes to this policy affecting data protection, the FI must inform customers, and request renewed consent, as required
-For changes that require additional consent, the negative consent method must NOT be used.
The FI must follow up with customers to obtain affirmative consent.
- FIs must not obtain consent through force or unsolicited means.Instead, they may explain consequences of not providing consent. 
- FIs must provide clear disclaimers if their systems automatically collect data
- FIs must review the purpose of personal data usage and ensure it remains consistent with the consented purpose, especially after system or process changes.","- FIs must retain logs for a period required by applicable legislation or regulation relating to log, record, or data retention.
- Logs must be retained and adequately protected to support potential investigations, including statutory document retention requirements.
-FIs must determine how long audit trail data will be maintained, aligned with the criticality of the systems, whether stored in-system or archived.
=
- FIs must archive logs using built‑in or third‑party archiving tools, and back them up to another storage medium.
-Central log collection servers are recommended to centralize logs for easier monitoring and retention.
-FIs must retain customer personal data in accordance with statutory or regulatory requirements for document retention, record keeping, and information protection.
-Where retention is mandated by law, these requirements must be communicated to customers.","-For Open APIs, data sharing must be limited to public information, read‑only, or one‑way processing
- Financial institutions should plan how to address compatibility and interoperability issues prior to integration, and ensure data and controls in the system are streamlined. this includes but not limited to the following:
- assess data structure and capacity of both systems
- assess potential changes to metadata where applicable
- optimize and test communication between the two systems or components
- ensure both systems are updated and security patches are installed
- review user access matrix for the new components and data, review security configuration of the new components
- prepare a testing plan that covers both systems, the components, and integration tool,
-prepare maintenance plans that covers the integrated systems of components of whole system","Notification to  customers if storing personal data on a cloud platform or third party, including another country. Access to customer personal data should be restricted","-FIs should ensure their customer personal data are accurate, current and complete. The FIs should establish relevant process to request or allow customers to review and update their personal data.
-FIs should implement measures that ensure the confidentiality as well as integrity of audit trail data, such as the use of encryption, digital signatures and strong access controls.
-All logs should be protected from alteration or unauthorised removal. Access to the logs should be limited only to the designated administrator.
-FIs must classify data and assign ownership to support proper handling and integrity.","Encryption should cover the following:
- Sensitive data on servers, databases, endpoints, and storage media must be protected using strong encryption and access control.
- Communication or transfer of sensitive information must use:
*Encrypted channels (e.g., SSL, TLS),or (Encryption applied before transmission).
- Backup tapes/media  before off‑site transport.
- Digital services such as cards, e-wallets-biometric
- Audit trails
- Remote access
-Personal data sent online
-NFC

Cryptography
-Use well-established algorithms (e.g., RSA, AES) endorsed by international bodies.
-Define appropriate key length, ensure algorithms are rigorously tested, and ensure secure key generation, transmission, protection, and rotation.
-Keys must be sent through separate secure channels, and distribution media must be destroyed after use.","Within 1 hour after suspected incident has been discovered
Within 2 hours from the discovery to confirm suspected incident is a near-miss or major IT incident","- If the Fls have to assign a third party to process customer personal data, the Fls should inform the customer on this arrangement and to limit access to personal data such as by using pseudonymisation or encryption.
-Fls has independent or direct access to relevant audit trails.
-The integrated third‑party system should not be able to access or extract data directly from the Fls’ main system, unless restricted on request and minimal basis
- FIs must evaluate third‑party data collection, storage, and protection.
-Ensure data for the API are separated from the main database.
-Data given from the API should be stored temporarily on a need basis only; cleared when session ends/idle.
-If the customer personal data has to be stored on a cloud platform or other third party, such arrangement including country where the customer's personal data is stored should be informed to the customer. Access to customer personal data must be restricted  ",No explicit provision,"No explicit provision. However, the FI is required to observe new and existing laws and regulation in relation to personal data protection",https://cms.bdcb.gov.bn/storage/uploads/regulatories/17175008245725090.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17175008245725090.pdf,
Brunei Darussalam,Brunei Darussalam Central Bank (BDCB),Notice on Early Detection of Cyber Intrusion and Incident Reporting (FTU/N-1/2017/1),2023.0,"Classification is determined by FIs through the data asset management framework with the following metrics:
- risk
- security classification
- criticality

The regulation covers the following:
- personal data: whether true or not, about an individual who can be identified from that data; or from that data and other information to which the FI has or is likely to have access
-sensitive data","-Data Ownership is established through data assset management framework by the financial institutions

-Accountability:
* Board & Senior Management- on important IT decision and operations in the FIs.
* Chief Information Officer - responsible to lead the IT management of the organization
* Chief Information Security Officer- responsible for management of information security and cybersecurity
* Business Units / System Owners — responsible for maintaining security controls, participate in risk reporting, and enforce segregation of duties
*End‑users and privileged users — users given access… should be held responsible and accountable for their own account","- FIs should develop a comprehensive data loss prevention strategy to address data breach, theft, and leakage covering the following:
– Data at endpoints
– Data in motion (transmitted across networks)
– Data at rest (servers, databases, storage)
– Cloud data","- FIs must clearly indicate the purpose of data collection and obtain suitable consent from the customer.
- If there are changes to this policy affecting data protection, the FI must inform customers, and request renewed consent, as required
-For changes that require additional consent, the negative consent method must NOT be used.
The FI must follow up with customers to obtain affirmative consent.
- FIs must not obtain consent through force or unsolicited means.Instead, they may explain consequences of not providing consent. 
- FIs must provide clear disclaimers if their systems automatically collect data
- FIs must review the purpose of personal data usage and ensure it remains consistent with the consented purpose, especially after system or process changes.","- FIs must retain logs for a period required by applicable legislation or regulation relating to log, record, or data retention.
- Logs must be retained and adequately protected to support potential investigations, including statutory document retention requirements.
-FIs must determine how long audit trail data will be maintained, aligned with the criticality of the systems, whether stored in-system or archived.
=
- FIs must archive logs using built‑in or third‑party archiving tools, and back them up to another storage medium.
-Central log collection servers are recommended to centralize logs for easier monitoring and retention.
-FIs must retain customer personal data in accordance with statutory or regulatory requirements for document retention, record keeping, and information protection.
-Where retention is mandated by law, these requirements must be communicated to customers.","-For Open APIs, data sharing must be limited to public information, read‑only, or one‑way processing
- Financial institutions should plan how to address compatibility and interoperability issues prior to integration, and ensure data and controls in the system are streamlined. this includes but not limited to the following:
- assess data structure and capacity of both systems
- assess potential changes to metadata where applicable
- optimize and test communication between the two systems or components
- ensure both systems are updated and security patches are installed
- review user access matrix for the new components and data, review security configuration of the new components
- prepare a testing plan that covers both systems, the components, and integration tool,
-prepare maintenance plans that covers the integrated systems of components of whole system","Notification to  customers if storing personal data on a cloud platform or third party, including another country. Access to customer personal data should be restricted","-FIs should ensure their customer personal data are accurate, current and complete. The FIs should establish relevant process to request or allow customers to review and update their personal data.
-FIs should implement measures that ensure the confidentiality as well as integrity of audit trail data, such as the use of encryption, digital signatures and strong access controls.
-All logs should be protected from alteration or unauthorised removal. Access to the logs should be limited only to the designated administrator.
-FIs must classify data and assign ownership to support proper handling and integrity.","Encryption should cover the following:
- Sensitive data on servers, databases, endpoints, and storage media must be protected using strong encryption and access control.
- Communication or transfer of sensitive information must use:
*Encrypted channels (e.g., SSL, TLS),or (Encryption applied before transmission).
- Backup tapes/media  before off‑site transport.
- Digital services such as cards, e-wallets-biometric
- Audit trails
- Remote access
-Personal data sent online
-NFC

Cryptography
-Use well-established algorithms (e.g., RSA, AES) endorsed by international bodies.
-Define appropriate key length, ensure algorithms are rigorously tested, and ensure secure key generation, transmission, protection, and rotation.
-Keys must be sent through separate secure channels, and distribution media must be destroyed after use.","Within 1 hour after suspected incident has been discovered
Within 2 hours from the discovery to confirm suspected incident is a near-miss or major IT incident","- If the Fls have to assign a third party to process customer personal data, the Fls should inform the customer on this arrangement and to limit access to personal data such as by using pseudonymisation or encryption.
-Fls has independent or direct access to relevant audit trails.
-The integrated third‑party system should not be able to access or extract data directly from the Fls’ main system, unless restricted on request and minimal basis
- FIs must evaluate third‑party data collection, storage, and protection.
-Ensure data for the API are separated from the main database.
-Data given from the API should be stored temporarily on a need basis only; cleared when session ends/idle.
-If the customer personal data has to be stored on a cloud platform or other third party, such arrangement including country where the customer's personal data is stored should be informed to the customer. Access to customer personal data must be restricted  ",No explicit provision,"No explicit provision. However, the FI is required to observe new and existing laws and regulation in relation to personal data protection",https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192628458350.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192628458350.pdf,
Brunei Darussalam,Brunei Darussalam Central Bank (BDCB),Notice on Technology Risk Management (TRS/N-1/2023/2),2024.0,"Classification is determined by FIs through the data asset management framework with the following metrics:
- risk
- security classification
- criticality

The regulation covers the following:
- personal data: whether true or not, about an individual who can be identified from that data; or from that data and other information to which the FI has or is likely to have access
-sensitive data","-Data Ownership is established through data assset management framework by the financial institutions

-Accountability:
* Board & Senior Management- on important IT decision and operations in the FIs.
* Chief Information Officer - responsible to lead the IT management of the organization
* Chief Information Security Officer- responsible for management of information security and cybersecurity
* Business Units / System Owners — responsible for maintaining security controls, participate in risk reporting, and enforce segregation of duties
*End‑users and privileged users — users given access… should be held responsible and accountable for their own account","- FIs should develop a comprehensive data loss prevention strategy to address data breach, theft, and leakage covering the following:
– Data at endpoints
– Data in motion (transmitted across networks)
– Data at rest (servers, databases, storage)
– Cloud data","- FIs must clearly indicate the purpose of data collection and obtain suitable consent from the customer.
- If there are changes to this policy affecting data protection, the FI must inform customers, and request renewed consent, as required
-For changes that require additional consent, the negative consent method must NOT be used.
The FI must follow up with customers to obtain affirmative consent.
- FIs must not obtain consent through force or unsolicited means.Instead, they may explain consequences of not providing consent. 
- FIs must provide clear disclaimers if their systems automatically collect data
- FIs must review the purpose of personal data usage and ensure it remains consistent with the consented purpose, especially after system or process changes.","- FIs must retain logs for a period required by applicable legislation or regulation relating to log, record, or data retention.
- Logs must be retained and adequately protected to support potential investigations, including statutory document retention requirements.
-FIs must determine how long audit trail data will be maintained, aligned with the criticality of the systems, whether stored in-system or archived.
=
- FIs must archive logs using built‑in or third‑party archiving tools, and back them up to another storage medium.
-Central log collection servers are recommended to centralize logs for easier monitoring and retention.
-FIs must retain customer personal data in accordance with statutory or regulatory requirements for document retention, record keeping, and information protection.
-Where retention is mandated by law, these requirements must be communicated to customers.","-For Open APIs, data sharing must be limited to public information, read‑only, or one‑way processing
- Financial institutions should plan how to address compatibility and interoperability issues prior to integration, and ensure data and controls in the system are streamlined. this includes but not limited to the following:
- assess data structure and capacity of both systems
- assess potential changes to metadata where applicable
- optimize and test communication between the two systems or components
- ensure both systems are updated and security patches are installed
- review user access matrix for the new components and data, review security configuration of the new components
- prepare a testing plan that covers both systems, the components, and integration tool,
-prepare maintenance plans that covers the integrated systems of components of whole system","Notification to  customers if storing personal data on a cloud platform or third party, including another country. Access to customer personal data should be restricted","-FIs should ensure their customer personal data are accurate, current and complete. The FIs should establish relevant process to request or allow customers to review and update their personal data.
-FIs should implement measures that ensure the confidentiality as well as integrity of audit trail data, such as the use of encryption, digital signatures and strong access controls.
-All logs should be protected from alteration or unauthorised removal. Access to the logs should be limited only to the designated administrator.
-FIs must classify data and assign ownership to support proper handling and integrity.","Encryption should cover the following:
- Sensitive data on servers, databases, endpoints, and storage media must be protected using strong encryption and access control.
- Communication or transfer of sensitive information must use:
*Encrypted channels (e.g., SSL, TLS),or (Encryption applied before transmission).
- Backup tapes/media  before off‑site transport.
- Digital services such as cards, e-wallets-biometric
- Audit trails
- Remote access
-Personal data sent online
-NFC

Cryptography
-Use well-established algorithms (e.g., RSA, AES) endorsed by international bodies.
-Define appropriate key length, ensure algorithms are rigorously tested, and ensure secure key generation, transmission, protection, and rotation.
-Keys must be sent through separate secure channels, and distribution media must be destroyed after use.","Within 1 hour after suspected incident has been discovered
Within 2 hours from the discovery to confirm suspected incident is a near-miss or major IT incident","- If the Fls have to assign a third party to process customer personal data, the Fls should inform the customer on this arrangement and to limit access to personal data such as by using pseudonymisation or encryption.
-Fls has independent or direct access to relevant audit trails.
-The integrated third‑party system should not be able to access or extract data directly from the Fls’ main system, unless restricted on request and minimal basis
- FIs must evaluate third‑party data collection, storage, and protection.
-Ensure data for the API are separated from the main database.
-Data given from the API should be stored temporarily on a need basis only; cleared when session ends/idle.
-If the customer personal data has to be stored on a cloud platform or other third party, such arrangement including country where the customer's personal data is stored should be informed to the customer. Access to customer personal data must be restricted  ",No explicit provision,"No explicit provision. However, the FI is required to observe new and existing laws and regulation in relation to personal data protection",https://cms.bdcb.gov.bn/storage/uploads/regulatories/17138597502782500.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17138597502782500.pdf,
Brunei Darussalam,Brunei Darussalam Central Bank (BDCB),Market Conduct Notice – Notice No. FCI/N2/2021/1,2021.0,No explicit provision,No explicit provision,"Banks and financial institutions must have a written privacy policy with proper controls to protect customers’ personal data, keep these policies updated, and clearly inform customers about what data is collected, how it is used, and how it is stored. Customers must be given the choice to consent or refuse, be told the implications of refusal, and institutions must limit data collection to what is necessary and retain it only as needed or legally required.",No explicit provision,"Where possible, banks and financial institutions shall limit the
amount of personal data collected to only what is necessary for its intended
purpose and may only be retained for the duration of its intended usage or
where legally required to do so.",No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111191990032740.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111191990032740.pdf,
Cambodia,National Bank of Cambodia (NBC),Prakas on the Management of Payment Service Providers,2017.0,No explicit provision ,"Legal entities interested to provide payment services must submit an application to NBC with the following requirements:
- A description of the procedures for documenting, reviewing, monitoring and restricting the use of critical data
-A description of the principles and methods for collecting data related to transactions and fraud","Legal entities interested to provide payment services must submit an application to NBC with the following requirements:
-Security policy, which includes a detailed assessment of the risks associated with payment services, including fraud, illegal use of personal data and sensitive data, along with a description of the security controls and measures to mitigate those risks.

Providers applying for a license on payment services must provide a description of the process in place to file, monitor, track and restrict access to sensitive payment data",No explicit provision ,"- payment service institution shall be entitled to store and process data after obtaining approval from the NBC
-Payment service institution shall set up contingency plan including data recovery system",No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,"-A Payment Services Provider shall guarantee that any third party acting on their behalf
comply with the legislation",No explicit provision ,No explicit provision ,https://www.nbc.gov.kh/download_files/legislation/prakas_kh/Prakas_NBC14_017_161_Payment-Service-Provider_Khmer.pdf,https://www.nbc.gov.kh/download_files/legislation/prakas_kh/Prakas_NBC14_017_161_Payment-Service-Provider_Khmer.pdf,
Cambodia,National Bank of Cambodia (NBC),Prakas on Third-Party Processors,2010.0,No explicit provision ,"- Third‑party processors operate “on behalf of a Bank”
- respective liabilities shall be duly allocated between banks and processors",No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,"-Third party/ outsourcing one or more parts of their payment transactions services through one or more third‑party processors is allowed subject to prior approval from the National Bank of Cambodia
* a third‑party processor may act on behalf of a bank to provide:
-Managing or operating of Bank customers’ accounts”
-A sending and receiving point for payment orders … accessed directly by the Bank’s customers",No explicit provision ,No explicit provision ,https://www.nbc.gov.kh/download_files/legislation/prakas_eng/595B9-010-151.pdf,https://www.nbc.gov.kh/download_files/legislation/prakas_eng/595B9-010-151.pdf,
Cambodia,Ministry of Commerce,Law on Electronic Commerce,2019.0,No explicit provision ,No explicit provision ,"Any person that holds personal information in electronic form shall use all means to ensure that the information is protected by such security safeguards as it is reasonable in every circumstances to avoid the loss, access, use, modification, leak or disclosure of those information, except with the permission of the owner of the information or any other party authorized by law.",No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,No explicit provision ,https://data.opendevelopmentcambodia.net/en/laws_record/law-on-e-commerce,https://data.opendevelopmentcambodia.net/en/laws_record/law-on-e-commerce,
Indonesia,Ministry of Communication and Informatics,Personal Data Protection (PDP Law),2022.0,"Personal data is classified into the following:
Special category Personal Data :Personal  Data which, if processed, may have a greater  impact on the Personal Data Subject,  including discriminatory treatment and  greater loss to a Personal Data Subject. This includes health data, biometric information,genetic data, criminal records,
General category Personal Data: Includes full name, gender, citizenship, religion, marriage status, cellular telephone number, IP address","-A Personal Data Subject shall have the right to
acquire Information on the full identity, the legal
grounds, the purpose of the request and the use of
Personal Data, and the accountability of the party
requesting the Personal Data.
- Personal Data controllers is responsible for processing personal data
-Where Personal Data is processed by 2 (two)  or more Personal Data Controllers, there is an agreement among the Personal  Data Controllers, which defines the role,
responsibilities, and  relationship  between the Personal Data Controllers; interrelated purposes and methods of
processing Personal Data are jointly determined; and
a contact person is jointly appointed.

-A Personal Data Controller and a Personal  Data Processor must appoint an official or officer that protects Personal Data ","-Personal Data shall be processed by protecting the security of Personal Data against unauthorized access, unauthorized disclosure, unlawful alteration, misuse, destruction, and/or removal of the Personal Data
-A Personal Data Controller must protect and ensure the security of Personal Data he/she processes by:
a. preparing and taking technical and operational measures to protect Personal Data from disruption of the processing of Personal Data that is against the law and regulations
b. determining the extent of security of Personal Data, bearing in mind the nature and risks of the Personal Data duly protected in the processing of Personal Data

-A Personal Data Controller must protect Personal Data from unauthorized access.

-In processing Personal Data, a Personal Data Controller must maintain its confidentiality","
'-The basis upon which Personal Data is
processed shall include explicit valid consent from the Personal Data Subject for 1 (one) or several specific purposes that has been delivered by the Personal Data Controller to the Personal Data Subject

-Personal Data Controller must notify:
a. the legality of the processing of Personal Data;
b. the purpose for which the Personal Data is processed;
c. the type and relevance of the Personal Data to be processed;
d. the retention period of documents containing the Personal Data;
e. the details of the Information collected;

Consent to process Personal Data must be given via written or recorded consent.  Consent may be given electronically or nonelectronically. ","Processing of personal data should include retention period of documents containing personal data; a personal data controller should cease processing if retention period has lapsed.

Notice of the storage, transfer, erasure, or destruction of Personal Data under must be sent to the Personal Data Subject. ","Covers regulations on:
domestic data sharing
international/cross-border sharing","- a Personal Data Controller must ensure that the country of domicile of the Personal Data Controller and/or the Personal Data processor who receives transferred Personal Data has a Personal Data Protection level equal to or higher than the one regulated by this Law. If the provision is not met, the Personal Data Controller must ensure that adequate and binding Personal Data Protection protocols apply.  If the provisions are still not
met, the Personal Data Controller must obtain approval from the Personal Data Subject.","Personal Data shall be processed in a manner that is accurate,  complete,
not  misleading, up to date, and accountable",No explicit provision,No explicit provision,No explicit provision,No explicit provision,"A Personal Data Subject shall have the right to acquire and/or use Personal Data concerning him/her from a Personal Data Controller in a structured, commonly used and/or electronic system-readable format",https://peraturan.go.id/id/uu-no-27-tahun-2022,https://www.abnrlaw.com/lib/files/IND-ENG-UU%2027-2022%20Pelindungan%20Data%20Pribadi%20%28ABNR%29.pdf,
