Country,Regulator,Issuance,Year,Scope,Fraud Reporting,"Fraud controls (including authentication technology, IT related controls, user protection)",Incident management and reporting,Source_Original,Source_EN,Amendment_Of
Brunei Darussalam,Brunei Darussalam Central Bank (BDCB),Notice on Reporting of Fraud Incidents (BU/N-3/2022/74),2022.0,"Banks
","- Notify BDCB within 1 working day upon detection of suspected fraud incident
- Submit report within 5 working days upon suspected fraud incident
- Submit brief summary detailing necessary actions and duration taken to resolve the case within 10 working days upon resolution of case


","Fraud policy approved by the Board of Directors, which includes defining the classification of fraud incidents (material or non-material)",,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192670269190.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192670269190.pdf,
Brunei Darussalam,Brunei Darussalam Central Bank (BDCB),Guidelines on Technology Risk Management (Guidelines No. TRS/G-2/2022/1),2022.0,"- Banks
- Licensed, registered, or regulated financial institutions  
- Approved operators of payment systems",,"- System to monitor transactions for fraudulent activities, with capability to store and retain information or logs of such activities
- Regular review and updating of monitoring system
- Technology risk management framework, including annual IT audit, annual review of critical systems, mandatory user acceptance testing (UAT), vulnerability assessment and penetration testing for newly developed or acquired critical systems prior to going live, security monitoring
- Subscription to reputable threat intelligence services ","- Root case and impact analysis for major incidents, including corrective and preventive measures
- Identification of severity level for IT incidents, with resolution timeframes appropriate for the severity level
- Escalation and resolution procedures, with regular tesing ot predetermine escalation and response plan for IT incidents",https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192888872080.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192888872080.pdf,
Brunei Darussalam,Brunei Darussalam Central Bank (BDCB),Notice on Technology Risk Management (TRM) (TRS/N-1/2023/2),2023.0,"- Banks
- Licensed, registered, or regulated financial institutions  
- Approved operators of payment systems",,"- Annual IT audit
- Notification to BDCB prior to acquiring or developing new critical systems or application, introduction of new features within the critical system or application that may potentially affect the customer’s experience and personal data
- Notification to BDCB  prior to integrating a third-party system or service with any of the critical systems
- Mandatory user acceptance testing (UAT), vulnerability assessment and penetration testing for newly developed or acquired critical systems prior to going live",,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192628458350.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192628458350.pdf,
Brunei Darussalam,Brunei Darussalam Central Bank (BDCB),"Notice on Early Detection on Cyberintrusion and Incident Reporting (Notice No. TRS/N-1/2020/1), as amended",2024.0,"- Banks
- Licensed, registered, or regulated financial institutions  ",,"- Regular risk assessment, gap analysis and testing against relevant technology-related BDCB Notices and Guidelines, international IT standards and industry best practices
- Policies and procedures on incident handling (including incident categorization), business continuity and service restoration","- Notify BDCB within one (1) hour after the discovery of a suspected incident
- Assess the suspected incident and notify BDCB within two (2) hours after first discovery of the suspected incident whether the incident is a successful cyber intrusion or otherise, and whether the incident is a major IT incident or otherwise
- Updates to BDCB on progress of incident response to cyber intrusion and major IT incidents at least twice daily
- Submit root case and impact analysis report within five (5) working days
- Record and compile all near-miss IT incidents that are confirmed and submit details to BDCB within five (5) working days after the end of each month
",https://cms.bdcb.gov.bn/storage/uploads/regulatories/17138600253557400.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17138600253557400.pdf,
Cambodia,National Bank of Cambodia (NBC),Technology Risk Management Guidelines,2019.0,All Banking and financial Institution (BFIs) regulated by NBC,"CAIFU requires Suspicious Transaction Reports (STRs) from banks, insurers, and payment service providers. Covered institutions are required to report fraud, money laundering, or unusual financial activity.

","- Technology risk mangement framework covering cybersecurity and operational risks (IT Governance, cybersecurity essentials, 
- Multi-factor authentication to secure user authentication processes
- Security Information and Event Management tools for real-time threat detection and response
- Continuous monitoring of logs and security events
- Regular vulnerability assessments and penetration testing to identify and address security gaps
- PSPs must implement secure systems to prevent hacking and unauthorized access.
- Backup and recovery plans to prevent fraud during outages.","The BFI shall establish an incident management policy and procedure to detect,respond to, and mitigate IT incidents, including cyber security incidents.
The BFI shall establish an incident response plan, including cyber incidents, to quickly
contain and mitigate incidents and cyber threats, and to securely and timely resume affected
services. The plan shall include communication channels, roles, and responsibilities of
relevant internal and external parties to support effective incident response.
The BFI shall report the incident as required by NBC periodically or on ad hoc basis",https://www.nbc.gov.kh/download_files/publication/itguideline_eng/NBC-Risk-Management-Guidelines-July%202019.pdf,https://www.nbc.gov.kh/download_files/publication/itguideline_eng/NBC-Risk-Management-Guidelines-July%202019.pdf,
Cambodia,National Bank of Cambodia (NBC),Technology and Cyber Risk Management Guideline,2026.0,All Banking and financial Institution (BFIs) regulated by NBC,"CAIFU requires Suspicious Transaction Reports (STRs) from banks, insurers, and payment service providers. Covered institutions are required to report fraud, money laundering, or unusual financial activity.

","- Technology risk mangement framework covering cybersecurity and operational risks (IT Governance, cybersecurity essentials, 
- Multi-factor authentication to secure user authentication processes
- Security Information and Event Management tools for real-time threat detection and response
- Continuous monitoring of logs and security events
- Regular vulnerability assessments and penetration testing to identify and address security gaps
- PSPs must implement secure systems to prevent hacking and unauthorized access.
- Backup and recovery plans to prevent fraud during outages.","The BFI shall establish an incident management policy and procedure to detect,respond to, and mitigate IT incidents, including cyber security incidents.
The BFI shall establish an incident response plan, including cyber incidents, to quickly
contain and mitigate incidents and cyber threats, and to securely and timely resume affected
services. The plan shall include communication channels, roles, and responsibilities of
relevant internal and external parties to support effective incident response.
The BFI shall report the incident as required by NBC periodically or on ad hoc basis",https://www.nbc.gov.kh/download_files/publication/itguideline_eng/National_Bank_of_Cambodia_TCRMG_2026.pdf,https://www.nbc.gov.kh/download_files/publication/itguideline_eng/National_Bank_of_Cambodia_TCRMG_2026.pdf,Technology Risk Management Guidelines (2019)
Indonesia,Bank Indonesia (BI),"PBI No. 2/2024 on Information System Security and Cyber Resilience  for Payment System Operators, Money Market Players and Foreign Exchange Markets, and Other Parties Regulated and Supervised by
Bank Indonesia",2024.0,"Payment service providers (PJP), payment infrastructure providers (PIP), BI-FAST participants","- Identify and report fraud incidents to BI arising from unauthorized transacions, account takeover/credential compromise, social engineering/scams, and system misuse
- Report transactions suspected to involve fraud even if loss is not yet confirmed and investigation is ongoing
- Initial report must be submitted immediately upon detection or strong suspicion of fraud; follow-up report to be submitted after investigation/confirmation of impact","- Fraud management systems; cyber resilience; transaction monitoring
- Strong authentication; security baselines; PRM/FDS analytics; IT minimum protections
- Risk-based controls, transaction notifications, transaction limits, alerts for credit card; prevention of suspicious transfers; mechanism to compensate financial losses of electronic money users 
- central Fraud Detection System (FDS), incident response teams, reconciliation, and enhanced IT protections
- regular vulnerability assessments, penetration testing and system audits","- Incident handling must include detection of incidents, analysis and classificatin of incidents, response and containment, recovery, and post-incident evaluation
- Procures to ensure timely detection of incidents, accurate identification of the source and impact of incidents, proper escalation of incidents based on severity, and coordination with relevant internal and external parties
- Report significant incidents to Bank Indonesia promptly after detection, followed by detailed reports within a specified period
- Maintain records of incidents and ensure availability of records",https://www.bi.go.id/id/publikasi/peraturan/Pages/PBI_022024.aspx,https://www.bi.go.id/id/publikasi/peraturan/Documents/PADG_242024.pdf,
Indonesia,Bank Indonesia (BI),PBI No. 23/6/2021 on Payment Service Providers;,2021.0,"Payment service providers (PJP), payment infrastructure providers (PIP), BI-FAST participants",,,,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_222321.aspx,https://www.bi.go.id/en/publikasi/peraturan/Pages/PBI_222321.aspx,
Indonesia,Bank Indonesia (BI),PADG No. 1/2025 and No. 14/2025 on BI-FAST fraud management / Fraud Detection System;,2025.0,"Payment service providers (PJP), payment infrastructure providers (PIP), BI-FAST participants;",,,,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_012025.aspx,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_142025.aspx,
Indonesia,Otoritas Jasa Keuangan (OJK),OJK POJK No. 12/2024 on Anti-Fraud Strategy,2024.0, all financial institutions under OJK (LJKs),"Submit to OJK:
- Anti-Fraud Strategy Implementation Report (for banks and financing companies - every semester; for other financial institutions - annually)
- Reports on Acts of Fraud with Significant Impact (for banks and financing companies - within 3 business days of discovery; for other financial institutions - within 6 business days of discovery)","Anti-Fraud Strategies that address prevention, detection, investigation, reporting and sanction, and monitoring, evaluation and follow-up of fraud incidents
",,https://www.ojk.go.id/id/regulasi/Documents/Pages/Penerapan-Strategi-Anti-Fraud-Bagi-Lembaga-Jasa-Keuangan/POJK%2012%20Tahun%202024%20Penerapan%20Strategi%20Anti%20Fraud%20bagi%20Lembaga%20Jasa%20Keuangan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Penerapan-Strategi-Anti-Fraud-Bagi-Lembaga-Jasa-Keuangan/POJK%2012%20Tahun%202024%20Penerapan%20Strategi%20Anti%20Fraud%20bagi%20Lembaga%20Jasa%20Keuangan.pdf,
Lao PDR,Bank of the Lao PDR (BOL); National Assembly (law),Law on Payment System (Amended) No. 32/NA (2023),2023.0,All payment systems and services operating in Lao PDR,"- Same as AML requirements
"," - General risk management and system security requirements
-  The Payment Service Provider (PSP) shall have the right and the obligation to freeze any funds transferred to a payee’s account upon receipt of a customer report alleging a fraudulent transaction, provided that such freeze shall not exceed seventy-two (72) hours from the time of receipt of said report.",General risk management and system security requirements,https://www.bol.gov.la/en/fileupload/18-12-2025_1766051569.pdf,https://www.bol.gov.la/en/fileupload/18-12-2025_1766051569.pdf,
Malaysia,Bank Negara Malaysia (BNM),Risk Management in Technology (RMiT) policy,2025.0,"- Licensed banks
- Licensed investment banks
- Licensed Islamic banks
- Approved issuers of electronic money
- Operator of a designated payment system
- Registered merchant acquirers
- Intermediary remittance institutions","- Report payment-related fraud, whether actual or near miss, by the 15th calendar day of the following month from the date of detection of event. Events with high reputational impact should be reported within one (1) working day from the date of event confirmation.
- Report payment-related fraud with a new modus operandi that impacts the reporting entity for the first time individually, on a per transaction basis
","- Technology Risk Management Framework and Cyber Risk Framework
- Continuous surveillance and monitoring to detect any
exploitation of the digital service application deployed to customers’
mobile devices and ensure the swift upgrade of security controls to
mitigate new vulnerabilities
- Layered (defense-in-depth) security controls to protect the digital
service application deployed to customers’ mobile devices and the
relevant banking data contained in it
- Continuous upgrade of fraud detection capabilities
- Secure communication channel to mitigate risk of phishing
- Secure self-service ""kill switch"" solution
- Real-time detection and blocking of suspicious or fraudulent transactions","- Clearly defined and effective incident handling procedures to
assist customers to contain the potential damage resulting from a cybersecurity breach involving digital services
- Report the cyber incidents and events,  whether actual or near miss, and actual critical business disruptions and system failures, within 14 calendar days from the date of event confirmation. Events with high reputational impact should be reported within one (1) working day from the date of event confirmation.
- Reporting entities that are subject to the Business Continuity Management Policy Document are required to notify BNM on the occurrence of a cyber incident and major disruptions within 2 hours upon the confirmation of such cyber incident
",https://www.bnm.gov.my/documents/20124/938039/pd-rmit-nov25.pdf,https://www.bnm.gov.my/documents/20124/938039/pd-rmit-nov25.pdf,
