Country,Regulator,Issuance,Year,Scope,License or Registration Required?,Types of Licenses Given,Separate Approval/License for Cross-Border Payments?,Detailed Requirements to Obtain License/Registration/Approval,Minimum Capital Requirement,Source_Original,Source_EN,Amendment_Of
Brunei Darussalam,Brunei Darussalam Central Bank (BDCB),Notice on Requirements for Payment Systems (Notice No. PSO/ N-1 / 2020/ 1 - Amendment No. 2),2022.0,"Does not apply to:
- banks 
- finance companies
- Islamic Trust Fund Corporation of Brunei Darussalam
- virtual asset exchanges","Yes – approval required to operate payment systems or offer payment services: 
-account issuing services; 
-electronic money issuing services;
-merchant acquiring services;
-other payment system operations or payment-related products",Operator of payment system,No explicit separate authorization for cross-border payments,"- Must be a company incorporated or registered under the Companies Act
- Director, CEO, shareholders, employees and applicant must be fit and proper
- Satisfactory track record and financial standing, where applicable
- Permanent place of business or registered office located in Brunei Darussalam
- Base capital requirement
- Demonstration of ability to comply with obigations under the regulations
- Maintenance of security with BDCB amounting to no less than BND 50,000 (USD XXX) in the form of a bankers guarantee prior to commencing operations
- Payment of application fee and annual fee
","BND100,000 (~USD XXX)",https://cms.bdcb.gov.bn/storage/uploads/regulatories/17175012480946350.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17175012480946350.pdf,
Cambodia,National Bank of Cambodia (NBC),Prakas on Third-Party Processors,2010.0,"- Bank
- Third-party processor (person entrusted by a bank to conduct one or more parts of its payment transactions services)",Yes - license,"Third-Party Processor (TPP) acting on behalf of a bank to provide one or more of the following services:
- a communication facility
- an interbank clearing facility
- managing or operating bank customers' accounts
- act as sending and receiving point for payment orders sent or received by the bank
- service provider of money remittance by mobile phone or other means
- service provider of clearing and settlement of debit and credit card payment",No explicit separate authorization for cross-border payments,"- Legal name and residential and business addresses of the TPP
- Desciption of payment transactions services previously provided by TPP inside and outside Cambodia, as well as services that will be provided on behalf of the bank
- Description of legal means to be undertaken to protect customers' funds from any risk coming from outsourcing of services
- Agreement between bank and TPP 
- Guarantee letter issued by the bank committing to undertake all responsibilities for the activities of the TPP
- Payment of application fee and annual licensing fee",No minimum capital requirement for TPP,https://www.nbc.gov.kh/download_files/legislation/prakas_eng/595B9-010-151.pdf,https://www.nbc.gov.kh/download_files/legislation/prakas_eng/595B9-010-151.pdf,
Cambodia,National Bank of Cambodia (NBC),Prakas on Management of Payment Service Providers,2017.0,"Payment Transactions Services provider:
- services enabling cash to be placed on and withdrawn from a payment account, and any operations required for operating payment accounts
- execution of payment transactions including transfer of funds on a payment account
- execution of payment transaction where funds are covered by a credit line for a payment service user
- issuing of payment instruments, including issuing of electronic money and/or acquiring of payment transaction
- money remittance
- payment initiation services",Yes - license,"Payment Service Institution (PSI) 
",No explicit separate authorization for cross-border payments,"- Must be a company legally registered in Cambodia.
- Formal application to NBC including business plan, scope of services, and governance structure
- Minimum paid-up capital
- Shareholders, directors, and senior management must meet NBC’s integrity and competency standards.
- Adequate internal controls, IT security, and operational risk management frameworks, including businss continuity plan
- Policies and systems to comply with anti-money laundering and counter-terrorism financing laws.
- Transparent fees, dispute resolution mechanisms, and safeguarding of customer funds
- Information pertaining to identity of statutory auditors and audit firms
- Payment of consulting fee, application fee and annual licensing fee","8,000,000,000 riels, with 5% deposited with NBC as a guarantee",https://www.scribd.com/document/413836557/1-b-prakas-Payment-Service-Eng,https://www.scribd.com/document/413836557/1-b-prakas-Payment-Service-Eng,
Cambodia,National Bank of Cambodia (NBC),Prakas on Minimum Registered Capital of Banking and Financial Institutions,2016.0,Sets minimum registered capital for banking and financial institutions under NBC supervision.,Yes - license,Applies to banking and financial institution license categories.,No explicit separate authorization for cross-border payments,Institutions must maintain the applicable registered capital level and comply with NBC implementation requirements.,"Below are the minimum registered capital of each types of institutions:
Commercial Bank: 300,000,000,000 riel,
Specialized Bank: 60,000,000,000 riel,
Microfinance deposit taking institution: 120,000,000,000 riel,
Microfinance institution: 6,000,000,000 riel
",https://www.nbc.gov.kh/download_files/legislation/prakas_eng/7848B7-016-117-Pro.Kor_ENG.pdf,https://www.nbc.gov.kh/download_files/legislation/prakas_eng/7848B7-016-117-Pro.Kor_ENG.pdf,
Cambodia,National Bank of Cambodia (NBC),Prakas on Money Changer License / Authorization,2009.0,"Licensing or authorization for foreign exchange buying and selling business. Relevant to payment ecosystem where FX conversion is involved, but not a payment institution license.",Yes - license,Money changer license or authorization.,No explicit separate authorization for cross-border payments,"Applicant must obtain NBC license or authorization, operate at approved locations, comply with reporting requirements and NBC conditions.","Have minimum paid-up capital of KHR 80 million (eighty million Riel)
kept in account at the National Bank of Cambodia permanently and it will
generate interest set forth by the National Bank of Cambodia.",https://www.nbc.gov.kh/download_files/legislation/prakas_eng/4356B9-09-230.pdf,https://www.nbc.gov.kh/download_files/legislation/prakas_eng/4356B9-09-230.pdf,
Indonesia,Bank Indonesia (BI),BI Regulation No.10/PBI/2025,2025.0,"- Penyelenggara Jasa Sistem Pembayaran (PSP) [Payment System Service Providers], comprising:
   · Penyedia Jasa Pembayaran (PJP) [Payment Service Providers]
   · Penyelenggara Infrastruktur Sistem Pembayaran (PIP) [Payment Infrastructure Providers]
   · Commercial banks (included as PSP for fund transfer activities)
- Supporting Service Providers (Penyelenggara Penunjang)
- Participants of BI-operated payment infrastructure (BI-FAST, BI-RTGS, SKNBI)

Does not apply to BI itself when acting in its central bank capacity.

1. Penyelenggara Jasa Pembayaran (PJP) [Payment Service Providers]
2. Penyelenggara Infrastruktur Sistem Pembayaran (PIP) [Payment Infrastructure Providers]",Yes – licence (PJP) / designation (PIP),"Penyedia Jasa Pembayaran (PJP) [Payment Service Provider] — Activity Bundle Licence

PBI 10/2025 replaces the previous Category 1/2/3 model with an activity-bundling approach. Licences are granted based on the specific bundle of activities to be performed:

a. Bundle 1A — Source of Funds Administration (deposits, e-money value, deferred payment/BNPL) + full payment transaction forwarding (data forwarding + digital/non-digital fund transfer). Available to Primary PSPs (PSP Utama) only.

b. Bundle 1B — Same scope as Bundle 1A with certain restrictions on source-of-funds and/or fund transfer sub-activities. Available to both Primary and Non-Primary PSPs.

c. Bundle 2 — Payment transaction forwarding only (acquiring/payment gateway, fund transfer digital and non-digital). No source-of-funds administration. Available to Primary and Non-Primary PSPs.

d. Bundle 3 — Non-digital fund transfer / remittance services only. Available to Non-Primary PSPs; excluded for Commercial Banks and Rural Banks (BPR).

Penyelenggara Infrastruktur Sistem Pembayaran (PIP) [Payment Infrastructure Provider]
— Designation (Penetapan) by Bank Indonesia, not a standard licence. Activities: clearing and settlement (including principal, switching, clearing, and dispute-resolution services for PIP members). PIP must be a non-bank entity (LSB) incorporated as a limited liability company.

PGSP:
License as a Payment Service Provider (PJP) is required for any entity acting as a PJP that facilitates payment transactions for end-users.Entities: Commercial Banks (Bank Umum) and Non-Bank Entities (Lembaga Selain Bank Umum / LSBU). Activity Bundling: The license is granted alongside specific ""Activity Bundles 1, 2, and  3"". 
These bundles dictate the exact scope of services the entity is legally permitted to including (i) Funds Management (management of payment accounts and the issuance of and/or provision of access to Funds) and (ii) the processing of payment transactions (the processing of payment transaction data and the processing of payment instructions, which may be accompanied by the facilitation of the receipt of payment proceeds through the provision of sub-accounts to Goods and/or Services Providers; and the processing of fund transfer instructions, both digital and non-digital).

Designation as a Payment System Infrastructure Provider (PIP), Bank Indonesia issues a formal designation for entities operating the core infrastructure that facilitates fund transfers between participants. Entities: Non-Bank Entities formulated as Limited Liability Companies (Perseroan Terbatas). This designation is specifically granted for clearing and/or final settlement (setelmen) activities.","No explicit separate authorisation for cross-border payments.

PSPs conducting cross-border activities are subject to:
- Stricter cooperation and contractual requirements with overseas counterparties;
- AML/CFT compliance obligations for cross-border transactions;
- Requirement to process domestic payment transactions within Indonesian territory;
- Prohibition on using crypto assets as a payment source of funds.

Foreign principals already operating as PIP prior to PBI 10/2025 may benefit from grandfathering provisions, subject to submission of a letter of guarantee to BI.

Under the regulatory framework established by Bank Indonesia, there is no separate cross-border payment license. Instead, cross-border payment capabilities are treated as an extension of an entity's licenses. 
To conduct cross-border transactions or utilize payment channels for cross-border purposes, an authorized PJP or PIP must granted taking into account:
the principle of reciprocity; (ii) equivalence of risk management standards; (iii) the benefits to the Indonesian economy; and (iv) compliance with statutory provisions.","BI processes applications through three stages:

1. Administrative review — completeness and accuracy of submitted documents;

2. Substantive analysis — across four aspects:
   a. Institutional: legality, ownership structure, control, Board of Directors and Board of Commissioners composition, and fit and proper test (Uji Kemampuan dan Kepatutan) for all key persons;
   b. Financial and capital: minimum paid-up capital (initial capital), ongoing capital adequacy, feasibility analysis, and business projection;
   c. Risk management: legal, operational, liquidity, and technology risks; and
   d. TIKMI capability (Transaksi/Transaction, Interkoneksi/Interconnection, Kompetensi/Competence, Manajemen Risiko/Risk Management, Infrastruktur TI/IT Infrastructure) — the new five-factor assessment framework introduced by PBI 10/2025 that determines PSP classification and eligible activity bundle;

3. On-site visit (or request for additional operational-readiness documents in lieu thereof).

Non-bank entities (LSBU) applying for Bundle 1 must be incorporated as a limited liability company (perseroan terbatas); Bundle 2 and Bundle 3 applicants may be other Indonesian legal entities.

PSP Classification: Based on TIKMI results and criteria of size, interconnectedness, complexity, and substitutability, BI classifies each PSP as Primary PSP (PSP Utama) or Non-Primary PSP (PSP Selain PSP Utama). This classification determines the activity bundle eligible, ongoing capital level, and supervisory intensity.

Business Planning: PSPs must submit a Strategic Business Plan (SBP, 3–5 years) and a Payment System Business Plan (RBSP, short-term), approved by BI, as a condition of and during the licence/designation.

Others as deemed necessary by BI.","Initial Capital Requirements (Minimum Paid-Up Capital):

PJP — by activity bundle (exact amounts specified in PADG 32/2025; relative hierarchy):
• Bundle 1A (Primary PSPs only): Highest tier
• Bundle 1B: Lower than Bundle 1A
• Bundle 2: Lower than Bundle 1B
• Bundle 3: Lowest tier

Note: Legacy amounts under PBI 23/6/2021 (Cat. 1: IDR 15 billion; Cat. 2: IDR 5 billion; Cat. 3: IDR 500 million / IDR 1 billion) remain reference points pending full PADG 32/2025 publication.

PIP: IDR 100 billion minimum paid-up capital.
Foreign principals: grandfathering provisions with letter of guarantee to BI.

Ongoing Capital (new requirement under PBI 10/2025):
• Minimum 10% of risk-weighted transactions, plus
• Surcharge of 1.5%–2.5% of risk-weighted transactions (PJP), or
• Surcharge of 2.5%–5.0% of risk-weighted transactions (PIP)

Transition: PJPs/PIPs that do not yet meet new requirements have 3 years from 31 March 2026 to comply (extendable by 2 years with BI approval).",https://www.bi.go.id/id/publikasi/peraturan/Documents/PBI-102025.pdf,https://www.bi.go.id/id/publikasi/peraturan/Documents/PBI-102025.pdf,
Lao PDR,Bank of the Lao PDR (BOL),Law on Payment Systems,2023.0,Domestic and Cross-border Payment Systems Operator (PSO) and Payment Services Providers (PSPs) ,Yes - license,"1. Payment Systems Operator (PSO)
2.  Payment Services Providers (PSPs) ",Yes,"1. Conditions for Retail Payment Systems Operator (RPS):
- being a legal entity
- Having sound financial position and capital for business operation as required by the Bank of the Lao PDR
- Having economical and technical feasibility study
- Having managers with qualifications and experiences in banking-finance, IT or relevant fields, and do not have record of criminal punishment as intentional offences such as fianncial criminal, banking, or money launderinf offence
- Having skillful and knowledgable employees in banking-finance, IT or relevant field
- Having a comprehensive internal operating system, including IT system and internal control system
- Having a proper office location
- Fullfilling other conditions as required by the Bank of the Lao PDR
2. Conditions for Payment Services Providers (PSPs):
- Having conditions as specified in Clause 1 
- Having a protective system on asset acquired from end users or through other PSPs
- Having its own system connected wiht other payment systems in the Lao PDR",Specify in secondary regulations,https://www.bol.gov.la/en/fileupload/18-12-2025_1766051569.pdf,https://www.bol.gov.la/en/fileupload/18-12-2025_1766051569.pdf,
Lao PDR,Bank of the Lao PDR (BOL),Decision on the Payment Service System No.511/BOL Dated 19 June 2025,2025.0,Domestic and cross-border payment service providers,Yes - license,"1. Payment Service Provider License
- card payment services
- electronic money (e-money)issuance service
- electronic acceptance (merchant acquiring) service
- bills payment service
- electronic funds transfer service

2. Cross-Border Payment Service Provider License
- card services under an international card network
- electronic acceptance through foreign payment instruments (including 03 types:  card issuance and acquiring, e-money acquiring, payment facilitating)
- cross-border funds transfer services
",Yes,"Domestic
- Business documents (registration certificate, business license, company formation agreement, as applicable)
- Shareholders' approval of the economic-technical analysis, internal regulations, and appointment of initial managing director, as applicable
- Economic-technical analysis report
- Business plan outlining the proposed payment services and payment channels
- Internal regulations and organizational structure of the company
- Documentation on the source of funds and letter of consent authorizing the Bank of Lao PDR to verify the source of funds
- Credit report for the past year
- CV, qualifications, experience, criminal record clearances, and valid identification documents for the applicant and key management personnel
- Criminal certificate issued by relevant authorization
- Business rule (details of payment services, governance procedure, risk management, accounting, internal control, dispute resolution and others as request by the Bank of the Lao PDR, if any)

Cross-border PSP
- Must have provided domestic payment services in the Lao PDR for a minimum of 3 consecutive years
- Compliance with financial stability ratios prescribed by BOL
- Have sufficient foreign currency capital
- Approval or certification from relevant foreign authorities for cross-border payment system connectivity and ensure that transaction data is stored within Lao PDR
- Comprehensive business plan, including clear accounting and fee deduction mechanisms 
- Agreement/MOU or other relevant documents concerning cooperation with a general payment system regulator or foreign cross-border PSP
- Detailed documentation regarding the provision of cross-border payment services
- Report on applicant's payment service performance over the past 3 years
- Documentation describing mechanism for linking payment and cross-border debit data","Domestic
1. For card payment services: 20 billion kip
2. For e-money issuance services: 10 billion kip
3. For electronic acceptance (merchant acquiring) services: 01 billion kip
4. For bill payment services: 01 billion kip
5. For electronic funds transfer services: 01 billion kip

Applicants intending to provide more than one type of payment service must meet the capital requirement corresponding to the service with the highest capital threshold.

Cross-border
1. For payment card issuance services under an international card network: 20 billion kip
2. For payment services involving any type of foreign payment instrument: 01 billion kip
3. For cross-border electronic funds transfer services: 01 billion kip",https://www.bol.gov.la/fileupload/30-06-2025_1751250479.pdf,https://www.bol.gov.la/fileupload/30-06-2025_1751250479.pdf,
Malaysia,Bank Negara Malaysia (BNM),"Money Services Business
(Minimum Capital Funds) Regulations 2011, as amended Money Service Business (Licensing) Regulations 2012, as amended",2011.0,Non-banks,Yes - license,"Class A - License to carry on money-changing business and remittance business
Class B - License to carry on remittance business only
Class C - License to carry on money-changing business only
Class D - License to carry on wholesale currency business only
",No explicit separate authorization for cross-border payments,"- Details of the shareholders, directors and senior management of the applicant
- Proposed corporate structure, including related parties
- Proposed business plan of the money service business
- Proposed governance arrangements, internal controls, and risk management framework
- Proposed internal control mechanisms and compliance programs 
- Payment of licensing fee","Class A - RM 2,000,000

Class B or C 
- With > than five (5) branch offices: RM 2,000,000
- With ≤ five (5) branch offices: RM 500,000
- With no branch office or it is also a money service business agent of a licensee of a different class and has no branch office: RM 300,000

Class A and D (all types of money services) - RM 12,000,000",https://www.bnm.gov.my/documents/20124/964944/pua_20111130_P.U.%2B%28A%29%2B392%2BPERATURAN-PERATURAN%2BPERNIAGAAN%2BPERKHIDMATAN%2BWANG.pdf/fca9901c-b1e4-a936-de26-5b65bde0e027?t=1592853330893,https://www.bnm.gov.my/documents/20124/964944/Peraturan-Peraturan_Perniagaan_Perkhidmatan_Wang_2013+att2.pdf/3b20c4fb-4168-097b-c689-bd08ccba0e8d?t=1592882139821,
Malaysia,Bank Negara Malaysia (BNM),Requirements for the Conduct of Money Services Business by Banking Institutions,2015.0,Banks,No - only prior notification to BNM ,,No explicit separate authorization for cross-border payments,"- Prior notification to BNM at least 14 days before commencement of money services business operations
- Written internal policies and procedures on the conduct of money services business activities
- Transparency in dealings
- Issuance of receipts
- Protection of customer information
- Maintenance of records
- Management information system",No additional capital requirement,https://www.bnm.gov.my/documents/20124/964944/Requirements_for_the_Conduct_of_MSB_by_BIs_v2.pdf/4071450f-0fb9-cce4-7383-66112558fd29?t=1593340647262,https://www.bnm.gov.my/documents/20124/964944/Requirements_for_the_Conduct_of_MSB_by_BIs_v2.pdf/4071450f-0fb9-cce4-7383-66112558fd29?t=1593340647262,
